Key,en,ru,tr,fr,de
Menu.Header,JUST DRINK!,НАДО ПИТЬ!,SADECE İÇ!,Buvez juste!,TRINK EINFACH!
Menu.Play,Drink!,Пить!,İçmek!,Boire!,Trinken!
Menu.Back,Back,Назад,Geri,Dos,Zurück
Menu.Credits,Credits,Авторы,Kredi,Crédits,Credits
Menu.CocktailMenu,Cocktail Menu,Коктейли,Kokteyl menüsü,Cocktail,Cocktailmenü
Menu.BestScore,Best Score,Твой рекорд:,En iyi puan,Meilleur score,Bestes Ergebnis
Menu.Leaderboard,Leaderboard,Рекорды,Liderler Sıralaması,Classement,Bestenliste
Menu.HowTo,How To Play,Справка,Nasıl oynanır,Comment jouer,Spielanleitung
Menu.Exit,Back,Домой,Geri,Dos,Zurück
Leader.Name,Player,Игрок,oyuncu,Joueur,Spieler
Leader.Place,Position,Место,Konum,Position,Position
Leader.Score,Score,Очки,Gol,Score,Punktzahl
Game.Score,Your Score:,Твой счет:,Puanın:,Ton score:,Ihr Ergebnis:
Game.BestScore,Best Score: ,Твой рекорд:,En iyi puan:,Meilleur score:,Bestes Ergebnis:
Game.NewBestScore,New Best Score: ,Новый рекорд:,Yeni En İyi Puan:,Nouveau meilleur score:,Neue beste Punktzahl:
Game.DrinkerUnlocked,New Drinker Unlocked!,Открыт новый выпивоха!,Yeni içen kilidi açıldı!,Nouveau buveur déverrouillé!,Neuer Trinker freigeschaltet!
Game.OFF,I Am OFF,Я Всё!,Ben gidiyorum,Je suis parti,Ich bin weg
Cocktail.Bayles,Bayles,Бейлис,Baylar,Bayles,Bayles
Cocktail.Bellini,Bellini,Беллини,Bellini,Bellini,Bellini
Cocktail.Blood Mary,Blood Mary,Кровавая Мери,Blood Mary,Blood Mary,Blut Mary
Cocktail.Cuba Libre,Cuba Libre,Куба Либре,Cuba Libre,Cuba Libre,Cuba Libre
Cocktail.Daiquiri,Daiquiri,Дайкири,Daiquiri,Daiquiri,Daiquiri
Cocktail.God Father,God Father,Крестный отец,Mafya babası,Dieu Père,Gott Vater
Cocktail.Manhattan,Manhattan,Манхеттен,Manhattan,Manhattan,Manhattan
Cocktail.Mega Beer,Mega Beer,Мега Пиво,Mega bira,Méga bière,Mega -Bier
Cocktail.Mega Wine,Mega Wine,Винище,Mega şarabı,Méga,Mega -Wein
Cocktail.MOHITO,MOHITO,Мохито,Mohito,Mohito,Mohito
Cocktail.OFF COCTAIL,OFF COCTAIL,Всё коктейль,Kokulu kapalı,Off Coctail,Off -Kocktail
Cocktail.Redneck,Redneck,Селюк,Tiksinti,Redneck,Bauer
Cocktail.RUFF,RUFF,Ёрш,Küstahlık,FRAISE,HALSKRAUSE
Cocktail.Sangria,Sangria,Сангрия,Sangria,Sangria,Sangria
Cocktail.Whiskey Cola,Whiskey Cola,Виски Кола,Viski kola,Whisky cola,Whisky Cola
Cocktail.Margarita,Margarita,Маргарита,Margarita,Margarita,Margarita
Cocktail.Tequila boom,Tequila boom,Текила Бум,Tekila patlaması,Boom de la tequila,Tequila -Boom
Cocktail.Black Russian,Black Russian,Черный русский,Siyah Rusyalı,Russe noir,Schwarzer Russe
Cocktail.Long Island,Long Island,Лонг Айленд,Long Island,Long Island,Long Island
Cocktail.Green fairy,Green fairy,Зеленая фея,Yeşil Peri,Fée verte,Grüne Fee
Cocktail.Screwdriver,Screwdriver,Отвертка,Tornavida,Tournevis,Schraubendreher
Cocktail.Tequila Sunrise,Tequila Sunrise,Текила Санрайз,Tekila gündoğumu,Tequila Sunrise,Tequila Sonnenaufgang
Cocktail.Sangrit,Sangrit,Сангрита,Sangrit,Chanteur,Sangrit
Cocktail.Blood and Sand,Blood and Sand,Кровь и песок,Kan ve Kum,Sang et sable,Blut und Sand
Cocktail.Jellyfish,Jellyfish,Медуза,Deniz anası,Méduse,Qualle
Cocktail.Zombie,Zombie,Зомби,Zombi,Zombi,Zombie
Cocktail.Control shot,Control shot,Контрольный выстрел,Kontrol Çekimi,Tir de contrôle,Kontrollschuss
Cocktail.Sazorak,Sazorak,Сазерак,Sazorak,Sazorak,Sazorak
Cocktail.Recharge,Recharge,Разрядка,Şarj etmek,Recharger,Aufladen
Cocktail.Bahus Pati,Bahus Pati,Бахус Пати,Bahus Pati,Bahus Pati,Bahus Pati
